Acct Number,Posting Date,Billing Date,Transaction Date,Transaction Amount,Transaction Code,Merchant Name,Merchant City,Merchant State,Merchant Category Code,Merchant Type,SIC Code Group Type,Presentation
123456789,11/5/2013,12/4/2013,11/3/2013,54.88,5,MONTE CARLO ADV RESERVAT.,LAS VEGAS,NV,3676,Monte Carlo Hotel and Casino,Hotel/Motel,Travel
123456789,11/5/2013,12/4/2013,11/3/2013,54.88,5,MONTE CARLO ADV RESERVAT.,LAS VEGAS,NV,3676,Monte Carlo Hotel and Casino,Hotel/Motel,Travel
123456789,11/5/2013,12/4/2013,11/3/2013,54.88,5,MONTE CARLO ADV RESERVAT.,LAS VEGAS,NV,3676,Monte Carlo Hotel and Casino,Hotel/Motel,Travel
123456789,11/6/2013,12/4/2013,11/4/2013,-54.88,6,MONTE CARLO ADV RESERVAT.,LAS VEGAS,NV,3676,Monte Carlo Hotel and Casino,Hotel/Motel,Travel
123456789,11/6/2013,12/4/2013,11/5/2013,199.95,5,DR *WHITAKER-HEALTHYDRCT,800-7228008,MD,5968,Direct Marketing ? Continuity/Subscription Merchant,Mail Orders,Retail
123456789,11/6/2013,12/4/2013,11/5/2013,16.76,5,Amazon.com,AMZN.COM/BILL,WA,5942,Book Stores,Other Retail,Retail
123456789,11/6/2013,12/4/2013,11/6/2013,9.99,5,APL*APPLE ITUNES STORE,866-712-7753,CA,5735,Record Shops,Other Retail,Retail
123456789,11/7/2013,12/4/2013,11/6/2013,78.8,5,ROBINS RESTAURANT,CAMBRIA,CA,5812,Eating places and Restaurants,Restaurants/Bars,Restaurant
123456789,11/7/2013,12/4/2013,11/6/2013,76.85,5,PSV*New Market Health,888-2695527,MD,5968,Direct Marketing ? Continuity/Subscription Merchant,Mail Orders,Retail
123456789,11/8/2013,12/4/2013,11/6/2013,35.04,5,SHELL OIL 57442732707,PASO ROBLES,CA,5542,Automated Fuel Dispensers,Gas Stations,Gas
123456789,11/12/2013,12/4/2013,11/6/2013,23.25,5,UNIV.PROD./LINECO INC.,413-5323372,MA,5964,Direct Marketing ? Catalog Merchant,Mail Orders,Retail
123456789,11/7/2013,12/4/2013,11/7/2013,-30,6,GROUPON INC,877-788-7858,IL,7299,Miscellaneous Personal Services-not Elsewhere Clas,Other Services,Other
123456789,11/7/2013,12/4/2013,11/7/2013,60,5,GROUPON INC,877-788-7858,IL,7299,Miscellaneous Personal Services-not Elsewhere Clas,Other Services,Other
123456789,11/7/2013,12/4/2013,11/7/2013,30,5,GROUPON INC,877-788-7858,IL,7299,Miscellaneous Personal Services-not Elsewhere Clas,Other Services,Other
123456789,11/8/2013,12/4/2013,11/7/2013,269,5,LIFE EXTENSION FDTN,800-678-8989,FL,5499,Misc. Food Stores ? Convenience Stores and Specialty Markets,Food Stores,Grocery
